split_id,n_train,n_test,auc,log_loss,brier,ece
0,32,14,1.0,0.3171963975436857,0.09903707185792841,0.15159097927488369
1,32,14,1.0,0.10659259544908625,0.02810851170825034,0.08417204829417105
2,32,14,1.0,0.08687352148435025,0.01209959439975975,0.0800178301249258
3,32,14,1.0,0.09022163489866289,0.014472207727109016,0.08141370101231162
4,32,14,0.925,0.516353226646818,0.13192163642763402,0.20925609867576317
5,32,14,1.0,0.046525307362945724,0.0037942649009062067,0.04448102476806555
6,32,14,1.0,0.042678831814918924,0.005115926667603429,0.03968191883993678
7,32,14,1.0,0.1315345553601396,0.038439898742259566,0.09393097461412281
8,32,14,1.0,0.05898669266201819,0.008972466864130196,0.053687231505984354
9,32,14,1.0,0.04254072955822565,0.0033673761068555917,0.04072406165114823
10,32,14,1.0,0.2914198629864447,0.09689763894504004,0.1592735303479166
11,32,14,1.0,0.16247081288330517,0.04095215425572888,0.13274171580477878
12,32,14,1.0,0.13211583446509867,0.02789028294048774,0.11398940917129985
13,32,14,1.0,0.1156851034355056,0.02718551897817157,0.09689947159679844
14,32,14,1.0,0.1165448122997481,0.037829345843590115,0.07954657397467942
15,32,14,1.0,0.10169073954930548,0.023947118211369363,0.08376296945073265
16,32,14,1.0,0.1515490759042389,0.04111818490729537,0.12196899121651442
17,32,14,1.0,0.07571485731039997,0.018126704430153465,0.06245732334401415
18,32,14,0.979591836734694,0.2727752889110639,0.08689948868401187,0.17656697437402089
19,32,14,1.0,0.059671180690163673,0.0071181306901676854,0.0556700886096963
20,32,14,1.0,0.09121326803271756,0.027727986919961017,0.06703291318624943
21,32,14,1.0,0.2767540405064478,0.08449993128806399,0.13057473124228688
22,32,14,0.9791666666666667,0.26341361627769905,0.08503710918913011,0.14405725866836452
23,32,14,1.0,0.07159644998636229,0.014345931869254489,0.06204019919718669
24,32,14,0.9555555555555555,0.2763713821252523,0.08582491066246026,0.11654249744011647
25,32,14,1.0,0.1449369068140682,0.04178522377791022,0.10801634802938848
26,32,14,1.0,0.03524104589673892,0.002522333367763771,0.033890587291305015
27,32,14,0.9555555555555556,0.28487299163113544,0.09370148518938029,0.14659844341321132
28,32,14,1.0,0.049053978791320695,0.005623073926553098,0.04592092541251469
29,32,14,1.0,0.20785596872005055,0.07058256577830288,0.13544009952628522
30,32,14,1.0,0.2674559288114506,0.08216682527479084,0.10193906922083237
31,32,14,0.9555555555555556,0.3276709077216086,0.10519747405925643,0.15709653994293052
32,32,14,1.0,0.1334105286764145,0.023925829011896046,0.11894167675564095
33,32,14,1.0,0.1166269601757183,0.027969798852235266,0.09548469242006832
34,32,14,1.0,0.154199313880123,0.038186618079684556,0.1274630841743055
35,32,14,0.9583333333333334,0.2755256898338642,0.08332573427177246,0.12588829874445887
36,32,14,1.0,0.10412346636912077,0.022024018491840238,0.08964455169319879
37,32,14,1.0,0.15031606231331845,0.038711156571730646,0.12140087258801405
38,32,14,1.0,0.29902729254567983,0.09533836951179438,0.12273327694396949
39,32,14,1.0,0.03805742129046374,0.0027818788574466434,0.03656156226894266
40,32,14,1.0,0.11730314843530568,0.02980749933609059,0.09601906938423771
41,32,14,1.0,0.041700894524886935,0.004153009642016597,0.03940461406315222
42,32,14,1.0,0.06332405925569536,0.009175263718969696,0.057867880021193495
43,32,14,1.0,0.20600056308535902,0.060667631659356465,0.15416245668149217
44,32,14,0.9791666666666666,0.2618395166674079,0.08556483701252574,0.11954533039771723
45,32,14,0.9777777777777779,0.262372185500597,0.08246411250508501,0.12662643434291715
46,32,14,1.0,0.07537628439284956,0.01279322619008438,0.06739239776633185
47,32,14,1.0,0.12379482004076914,0.03719158098314107,0.08898665849957055
48,32,14,1.0,0.06212886626459744,0.006646106453898868,0.05844982763086536
49,32,14,1.0,0.3169601504921875,0.11826891556292171,0.18618873500890454
