bin_left,bin_right,count,conf,acc,bin_mid
0.0004622471120474964,0.0012570656525300503,14,0.0008967692412428049,0.14285714285714285,0.0008596563822887733
0.0013023278664483005,0.0026056445565371187,14,0.002083235380830262,0.0,0.0019539862114927096
0.002686189232413661,0.003266568384972883,14,0.0029404133648082633,0.0,0.002976378808693272
0.003287109761179239,0.003915214457165653,14,0.0036345121344716403,0.0,0.003601162109172446
0.0039618864144203665,0.005315878311168537,14,0.004484037366617644,0.0,0.004638882362794451
0.005331607617441067,0.007301507848959154,14,0.006115545144274487,0.0,0.00631655773320011
0.00734126023323673,0.009731976367547994,14,0.008297757076977226,0.0,0.008536618300392361
0.009744199194344003,0.014997381811742837,14,0.012056977234372056,0.07142857142857142,0.012370790503043419
0.01542226746855311,0.019896111045025065,14,0.01754321559945152,0.0,0.01765918925678909
0.020317290148449595,0.024122689201872792,14,0.022164978064800018,0.0,0.022219989675161193
0.024212303070817915,0.029500228952040315,14,0.026830787129924507,0.0,0.026856266011429115
0.029856843309198605,0.03692883317612352,14,0.033629274320138826,0.07142857142857142,0.033392838242661066
0.03694578188354923,0.04816765938248669,14,0.042221236630745666,0.0,0.042556720633017964
0.04860784854950989,0.05913228122324586,14,0.052891725575872205,0.07142857142857142,0.053870064886377876
0.060113924232693544,0.07186393360649825,14,0.06632161364917007,0.0,0.0659889289195959
0.07260232454811849,0.08536428230267241,14,0.08007068550537423,0.07142857142857142,0.07898330342539545
0.08546722893454962,0.09868092383766061,14,0.09223020001887541,0.07142857142857142,0.09207407638610512
0.09988580361720792,0.12190430230043271,14,0.11105511033097344,0.07142857142857142,0.11089505295882032
0.12431275957861766,0.14239060397145087,14,0.13457068865747457,0.07142857142857142,0.13335168177503426
0.14436761070245788,0.16500603922580706,14,0.1547049515305048,0.14285714285714285,0.15468682496413247
0.16580727178943402,0.19399383731359995,14,0.17940273785009397,0.07142857142857142,0.179900554551517
0.19448171949742893,0.22722123812335598,14,0.21173479251687896,0.07142857142857142,0.21085147881039246
0.2312360037522964,0.31509955136381834,14,0.2647529558832168,0.42857142857142855,0.2731677775580574
0.31533845274068256,0.42433330885215376,14,0.3717404971622004,0.6428571428571429,0.36983588079641816
0.4275286677053929,0.48612319822572353,14,0.4564046105693252,0.9285714285714286,0.4568259329655582
0.49114614939379997,0.5879431301744728,14,0.5403210767776871,0.8571428571428571,0.5395446397841364
0.6140902668836035,0.6912478036508316,14,0.6452216514384652,0.35714285714285715,0.6526690352672175
0.6955076973091038,0.800812286628735,14,0.7279947758432656,0.42857142857142855,0.7481599919689195
0.8349619453288852,0.8919329270283587,14,0.8682372288287941,1.0,0.863447436178622
0.8967228769523604,0.9135003076970081,14,0.9063770040895346,1.0,0.9051115923246842
0.9144345941289245,0.9208652308513654,14,0.916931957267484,0.9285714285714286,0.9176499124901449
0.9225740750261143,0.930264587617569,14,0.9279129813331742,0.9285714285714286,0.9264193313218416
0.9306213317058792,0.9390500790666501,14,0.9344852009045271,1.0,0.9348357053862646
0.9391039423573041,0.9466579953784128,14,0.941982826306982,1.0,0.9428809688678584
0.9468856998895161,0.951159974928026,14,0.9492844625753103,1.0,0.949022837408771
0.951181367476374,0.9564031981736582,14,0.9537220491346,0.9285714285714286,0.953792282825016
0.9564667863536037,0.9616068528713039,14,0.9598442311105816,0.9285714285714286,0.9590368196124538
0.9616954341048999,0.9645939839937772,14,0.9634536789738231,1.0,0.9631447090493386
0.9646249849664386,0.9685692193118507,14,0.9666479759532708,0.9285714285714286,0.9665971021391446
0.9688372420204788,0.9731463767738504,14,0.9709978890506182,1.0,0.9709918093971646
0.9733067283021006,0.9774883336674932,14,0.9755006238842057,0.9285714285714286,0.9753975309847969
0.977568044370455,0.9803991064928097,14,0.9788225676799475,0.9285714285714286,0.9789835754316323
0.9805316692369528,0.9824130564576962,14,0.9815255581136976,0.9285714285714286,0.9814723628473245
0.9826848320235406,0.985388057230875,14,0.9840878709086567,0.9285714285714286,0.9840364446272079
0.985740041048127,0.9877583281414304,14,0.9867940860864964,1.0,0.9867491845947787
0.9878561288943527,0.9889100275088974,14,0.988420605515672,0.9285714285714286,0.9883830782016251
0.989052068587485,0.9905336061804727,14,0.9898053815725285,0.9285714285714286,0.9897928373839788
0.9906541896567561,0.9919184294986866,14,0.9912781102641368,1.0,0.9912863095777213
0.9919194979930382,0.9940321265457255,14,0.9930392634628076,1.0,0.9929758122693819
0.9940446642595245,0.9985156732322383,14,0.9956532768818608,1.0,0.9962801687458814
