split,alpha,n_test,n_test_pd,n_test_ctrl,q,cov_all,cov_pd,cov_ctrl
0,0.1,14,7,7,0.9795394037994319,1.0,1.0,1.0
1,0.1,14,8,6,0.9874825793733205,1.0,1.0,1.0
2,0.1,14,6,8,0.536356612198831,0.9285714285714286,1.0,0.875
3,0.1,14,7,7,0.7946684328690923,1.0,1.0,1.0
4,0.1,14,6,8,0.20439492715519647,0.8571428571428571,1.0,0.75
5,0.1,14,7,7,0.2978657133631408,0.7857142857142857,0.7142857142857143,0.8571428571428571
6,0.1,14,9,5,0.9806809511932939,0.9285714285714286,1.0,0.8
7,0.1,14,6,8,0.49903275840772543,1.0,1.0,1.0
8,0.1,14,9,5,0.23974683872442604,0.8571428571428571,1.0,0.6
9,0.1,14,4,10,0.75985862018704,1.0,1.0,1.0
10,0.1,14,6,8,0.5247969386282632,0.8571428571428571,0.6666666666666666,1.0
11,0.1,14,6,8,0.40847361098018686,0.9285714285714286,0.8333333333333334,1.0
12,0.1,14,8,6,0.9807493413143697,1.0,1.0,1.0
13,0.1,14,8,6,0.21953678962067336,0.9285714285714286,0.875,1.0
14,0.1,14,7,7,0.5960509588539203,0.8571428571428571,0.7142857142857143,1.0
15,0.1,14,6,8,0.6592514149640353,1.0,1.0,1.0
16,0.1,14,7,7,0.16601432671536764,0.7142857142857143,0.7142857142857143,0.7142857142857143
17,0.1,14,9,5,0.5087780372330802,1.0,1.0,1.0
18,0.1,14,9,5,0.7004715453995215,1.0,1.0,1.0
19,0.1,14,6,8,0.5745644203013526,0.9285714285714286,1.0,0.875
20,0.1,14,6,8,0.17355234042363432,0.8571428571428571,1.0,0.75
21,0.1,14,7,7,0.3878770438437348,0.8571428571428571,1.0,0.7142857142857143
22,0.1,14,5,9,0.9988914778463539,0.9285714285714286,0.8,1.0
23,0.1,14,9,5,0.5415317458018976,0.9285714285714286,0.8888888888888888,1.0
24,0.1,14,9,5,0.6081170954694675,1.0,1.0,1.0
25,0.1,14,7,7,0.9810166379250838,1.0,1.0,1.0
26,0.1,14,4,10,0.2250423941704509,0.7142857142857143,0.75,0.7
27,0.1,14,10,4,0.4994376490749832,0.9285714285714286,0.9,1.0
28,0.1,14,8,6,0.5340008382641204,1.0,1.0,1.0
29,0.1,14,8,6,0.5893826452788374,1.0,1.0,1.0
30,0.1,14,9,5,0.9610052923472199,0.8571428571428571,0.7777777777777778,1.0
31,0.1,14,7,7,0.9725634284981242,0.9285714285714286,1.0,0.8571428571428571
32,0.1,14,8,6,0.19009914705483766,0.9285714285714286,1.0,0.8333333333333334
33,0.1,14,4,10,0.7141065817283984,1.0,1.0,1.0
34,0.1,14,7,7,0.6828592971495774,1.0,1.0,1.0
35,0.1,14,9,5,0.7643082904941227,1.0,1.0,1.0
36,0.1,14,9,5,0.3916714745893892,0.8571428571428571,0.8888888888888888,0.8
37,0.1,14,6,8,0.09109643752344376,0.5,0.6666666666666666,0.375
38,0.1,14,9,5,0.3868591471881564,0.7142857142857143,0.6666666666666666,0.8
39,0.1,14,5,9,0.098182589587261,0.5714285714285714,0.6,0.5555555555555556
40,0.1,14,9,5,0.8473553738327247,0.8571428571428571,1.0,0.6
41,0.1,14,8,6,0.9813088608676055,1.0,1.0,1.0
42,0.1,14,8,6,0.9997277183339339,1.0,1.0,1.0
43,0.1,14,8,6,0.7240486099875457,1.0,1.0,1.0
44,0.1,14,6,8,0.983138486528562,1.0,1.0,1.0
45,0.1,14,8,6,0.3354658998632374,0.8571428571428571,0.875,0.8333333333333334
46,0.1,14,6,8,0.5801488995070948,0.9285714285714286,0.8333333333333334,1.0
47,0.1,14,7,7,0.10342304917630507,0.6428571428571429,0.7142857142857143,0.5714285714285714
48,0.1,14,7,7,0.6229475356494946,1.0,1.0,1.0
49,0.1,14,7,7,0.3532887493222858,0.9285714285714286,1.0,0.8571428571428571
