q,coverage,singleton_rate,singleton_acc,avg_set_size,auc,n_test,n_cal,n_train,split_id
0.18815318749036936,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,1.0,14,16,16,0
0.9945906297993016,1.0,0.07142857142857142,1.0,1.9285714285714286,0.8666666666666667,14,16,16,1
0.49071911436996274,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0,14,16,16,2
0.6764184188806973,1.0,0.8571428571428571,1.0,1.1428571428571428,1.0,14,16,16,3
0.9451946372798802,0.9285714285714286,0.5714285714285714,0.875,1.4285714285714286,0.95,14,16,16,4
0.8877091113135993,1.0,0.8571428571428571,1.0,1.1428571428571428,1.0,14,16,16,5
0.4149720521153628,1.0,1.0,1.0,1.0,1.0,14,16,16,6
0.5007304578573152,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0,14,16,16,7
0.9426823202290063,1.0,0.35714285714285715,1.0,1.6428571428571428,1.0,14,16,16,8
0.7876060421332516,1.0,0.9285714285714286,1.0,1.0714285714285714,1.0,14,16,16,9
0.3811115593870713,0.7857142857142857,0.9285714285714286,0.8461538461538461,0.9285714285714286,0.8958333333333334,14,16,16,10
0.8229011855843972,1.0,0.7142857142857143,1.0,1.2857142857142858,1.0,14,16,16,11
0.6967494929257854,0.9285714285714286,0.9285714285714286,0.9230769230769231,1.0714285714285714,0.875,14,16,16,12
0.771476380642778,1.0,0.9285714285714286,1.0,1.0714285714285714,1.0,14,16,16,13
0.4622401925856865,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9777777777777777,14,16,16,14
0.8863509591109844,0.9285714285714286,0.8571428571428571,0.9166666666666666,1.1428571428571428,0.979591836734694,14,16,16,15
0.7234318078438733,1.0,0.7857142857142857,1.0,1.2142857142857142,1.0,14,16,16,16
0.5361899009820015,1.0,1.0,1.0,1.0,1.0,14,16,16,17
0.20107198696745998,0.7857142857142857,0.7857142857142857,1.0,0.7857142857142857,1.0,14,16,16,18
0.9098751172594288,1.0,0.7142857142857143,1.0,1.2857142857142858,0.9583333333333334,14,16,16,19
0.7772146779497398,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9166666666666667,14,16,16,20
0.514912491584737,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0,14,16,16,21
0.8452773093784584,0.9285714285714286,0.7857142857142857,0.9090909090909091,1.2142857142857142,0.9166666666666667,14,16,16,22
0.5650694215050789,1.0,1.0,1.0,1.0,1.0,14,16,16,23
0.6151941775388582,0.8571428571428571,0.9285714285714286,0.8461538461538461,1.0714285714285714,0.9555555555555556,14,16,16,24
0.6359529110014619,0.9285714285714286,0.8571428571428571,0.9166666666666666,1.1428571428571428,0.9583333333333334,14,16,16,25
0.8151343398221474,1.0,0.9285714285714286,1.0,1.0714285714285714,1.0,14,16,16,26
0.6954069427640382,0.8571428571428571,0.7857142857142857,0.8181818181818182,1.2142857142857142,0.8222222222222222,14,16,16,27
0.9057761799548731,1.0,0.6428571428571429,1.0,1.3571428571428572,1.0,14,16,16,28
0.5675093531166618,0.7857142857142857,0.9285714285714286,0.7692307692307693,1.0714285714285714,0.9183673469387755,14,16,16,29
0.46317705106543616,0.9285714285714286,1.0,0.9285714285714286,1.0,0.8979591836734694,14,16,16,30
0.9980110056681022,0.9285714285714286,0.21428571428571427,0.6666666666666666,1.7857142857142858,0.6444444444444444,14,16,16,31
0.9648306104001828,1.0,0.42857142857142855,1.0,1.5714285714285714,0.9777777777777779,14,16,16,32
0.3783620635505488,1.0,1.0,1.0,1.0,1.0,14,16,16,33
0.9125517183671008,0.9285714285714286,0.5714285714285714,0.875,1.4285714285714286,0.875,14,16,16,34
0.9353405362223742,0.9285714285714286,0.5,0.8571428571428571,1.5,0.7708333333333333,14,16,16,35
0.6192487253449287,1.0,0.8571428571428571,1.0,1.1428571428571428,0.979591836734694,14,16,16,36
0.43537914358569374,0.8571428571428571,0.9285714285714286,0.9230769230769231,0.9285714285714286,1.0,14,16,16,37
0.9991389125329927,1.0,0.0,,2.0,0.8333333333333334,14,16,16,38
0.8146482728501108,1.0,1.0,1.0,1.0,1.0,14,16,16,39
0.4119619132044958,0.8571428571428571,0.9285714285714286,0.9230769230769231,0.9285714285714286,1.0,14,16,16,40
0.9551229242072352,1.0,0.5,1.0,1.5,1.0,14,16,16,41
0.594847906819714,1.0,0.9285714285714286,1.0,1.0714285714285714,1.0,14,16,16,42
0.42333827623785125,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,14,16,16,43
0.15475696637332226,0.7857142857142857,0.7857142857142857,1.0,0.7857142857142857,0.9791666666666666,14,16,16,44
0.8213268652238048,0.7857142857142857,0.9285714285714286,0.7692307692307693,1.0714285714285714,0.8444444444444444,14,16,16,45
0.8259158822431167,1.0,0.7857142857142857,1.0,1.2142857142857142,1.0,14,16,16,46
0.6540349517112373,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9333333333333333,14,16,16,47
0.9331066926105521,1.0,0.42857142857142855,1.0,1.5714285714285714,1.0,14,16,16,48
0.9118086471506247,0.7857142857142857,0.9285714285714286,0.7692307692307693,1.0714285714285714,0.9387755102040817,14,16,16,49
