condition,variant,matrix,true_label,pred_label,count
clean,baseline,all_forced,control,control,295
clean,baseline,all_forced,control,pd,5
clean,baseline,all_forced,pd,control,13
clean,baseline,all_forced,pd,pd,287
clean,baseline,decided_only,control,control,260
clean,baseline,decided_only,pd,control,8
clean,baseline,decided_only,pd,pd,246
clean,baseline,unsure,control,unsure,40
clean,baseline,unsure,pd,unsure,46
clean,baseline_plus_praat,all_forced,control,control,292
clean,baseline_plus_praat,all_forced,control,pd,8
clean,baseline_plus_praat,all_forced,pd,control,14
clean,baseline_plus_praat,all_forced,pd,pd,286
clean,baseline_plus_praat,decided_only,control,control,253
clean,baseline_plus_praat,decided_only,pd,control,7
clean,baseline_plus_praat,decided_only,pd,pd,240
clean,baseline_plus_praat,unsure,control,unsure,47
clean,baseline_plus_praat,unsure,pd,unsure,53
snr10,baseline,all_forced,control,control,261
snr10,baseline,all_forced,control,pd,39
snr10,baseline,all_forced,pd,control,22
snr10,baseline,all_forced,pd,pd,278
snr10,baseline,decided_only,control,control,191
snr10,baseline,decided_only,control,pd,18
snr10,baseline,decided_only,pd,control,13
snr10,baseline,decided_only,pd,pd,176
snr10,baseline,unsure,control,unsure,91
snr10,baseline,unsure,pd,unsure,111
snr10,baseline_plus_praat,all_forced,control,control,262
snr10,baseline_plus_praat,all_forced,control,pd,38
snr10,baseline_plus_praat,all_forced,pd,control,24
snr10,baseline_plus_praat,all_forced,pd,pd,276
snr10,baseline_plus_praat,decided_only,control,control,193
snr10,baseline_plus_praat,decided_only,control,pd,20
snr10,baseline_plus_praat,decided_only,pd,control,13
snr10,baseline_plus_praat,decided_only,pd,pd,186
snr10,baseline_plus_praat,unsure,control,unsure,87
snr10,baseline_plus_praat,unsure,pd,unsure,101
snr20,baseline,all_forced,control,control,266
snr20,baseline,all_forced,control,pd,34
snr20,baseline,all_forced,pd,control,21
snr20,baseline,all_forced,pd,pd,279
snr20,baseline,decided_only,control,control,186
snr20,baseline,decided_only,control,pd,15
snr20,baseline,decided_only,pd,control,12
snr20,baseline,decided_only,pd,pd,190
snr20,baseline,unsure,control,unsure,99
snr20,baseline,unsure,pd,unsure,98
snr20,baseline_plus_praat,all_forced,control,control,271
snr20,baseline_plus_praat,all_forced,control,pd,29
snr20,baseline_plus_praat,all_forced,pd,control,21
snr20,baseline_plus_praat,all_forced,pd,pd,279
snr20,baseline_plus_praat,decided_only,control,control,189
snr20,baseline_plus_praat,decided_only,control,pd,14
snr20,baseline_plus_praat,decided_only,pd,control,12
snr20,baseline_plus_praat,decided_only,pd,pd,201
snr20,baseline_plus_praat,unsure,control,unsure,97
snr20,baseline_plus_praat,unsure,pd,unsure,87
